,geo_id,area_land_meters,area_water_meters,int_point_lat,int_point_lon
0,01013,2012002531,2701198,31.751667,-86.6819689
1,01059,1641841404,32643981,34.4419892,-87.8428144
2,01041,1576952799,5388562,31.7328256,-86.3192219
3,01105,1863900621,10937769,32.6390053,-87.2938269
4,01039,2669134207,34226200,31.2439873,-86.4487206
5,01087,1576855716,11345392,32.3870267,-85.692887
6,01029,1450663786,2354896,33.6719637,-85.5161261
7,01025,3207494106,36657891,31.6855211,-87.8186244
8,01075,1566544637,1600679,33.7870852,-88.0874309
9,01099,2656469660,22609681,31.5803324,-87.3832656
10,01057,1625693288,4330881,33.7161568,-87.7642923
11,01133,1587614057,48917203,34.1545665,-87.3653458
12,01035,2202007855,6632046,31.4309257,-86.9887221
13,01027,1564251834,5285207,33.2703999,-85.8635254
14,01019,1433623319,120308342,34.0695153,-85.6542417
15,01091,2530140237,14966620,32.2475911,-87.791091
16,01119,2340898915,24634883,32.5974811,-88.2000571
17,01011,1613076054,6038093,32.1017589,-85.7172613
18,01131,2301075085,49057525,31.9900824,-87.3049349
19,01023,2365869841,19144469,31.9909539,-88.2488894
20,01111,1503615937,9285420,33.2964753,-85.4640679
21,01093,1922657342,3183332,34.1382194,-87.881551
22,01095,1465531863,148495459,34.3095637,-86.3216681
23,01123,1855782851,128806123,32.8633076,-85.7996176
24,01037,1685850815,39987271,32.9314453,-86.2434818
25,01015,1569195268,16587192,33.7705162,-85.8279089
26,01053,2448115116,20504948,31.1222867,-87.1684097
27,01081,1573514768,21526461,32.6040644,-85.3530477
28,01021,1794477075,20592142,32.8540514,-86.7266071
29,01009,1670103866,15015467,33.9773575,-86.56644
30,01007,1612167476,9602089,33.0158929,-87.1271475
31,01073,2878552100,32849845,33.5534439,-86.8965359
32,01117,2034134905,62515663,33.2630428,-86.6780894
33,01115,1635786810,56407166,33.7129627,-86.3156631
34,01113,1660622936,15596319,32.2898113,-85.1869798
35,01043,1902970816,52525039,34.1319229,-86.8692666
36,01003,4117621645,1132980868,30.6592183,-87.7460666
37,01103,1501156832,50377239,34.4544844,-86.8464021
38,01079,1788864251,68682382,34.529776,-87.3218651
39,01061,1487897665,11578163,31.0923822,-85.8210224
40,01067,1454926622,16986823,31.5169779,-85.2399712
41,01069,1501819549,4718092,31.1581831,-85.2964111
42,01031,1758565919,3907189,31.402258,-85.9896022
43,01005,2292160139,50523213,31.8702531,-85.4051035
44,01077,1730146078,133608951,34.9041221,-87.6509966
45,01033,1535202321,79700278,34.703112,-87.8014569
46,01049,2012676480,4121543,34.460929,-85.803992
47,01055,1385871922,35067763,34.0476407,-86.0342629
48,01083,1450277886,122329712,34.8102387,-86.9813995
49,01089,2076111961,28810665,34.7642377,-86.5510802
