geo_id,do_date,total_pop,pop_25_years_over,pop_25_64,not_us_citizen_pop,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,employed_pop,employed_arts_entertainment_recreation_accommodation_food,employed_finance_insurance_real_estate,employed_information,employed_public_administration,employed_science_management_admin_waste,bachelors_degree_or_higher_25_64,aggregate_travel_time_to_work,male_pop,female_pop,asian_including_hispanic,black_including_hispanic,white_including_hispanic,area_land_meters,int_point_lat,int_point_lon
21227,2011,115517.0,69563.0,56900.0,6570.0,5168.0,4005.0,2734.0,3256.0,2258.0,2651.0,2674.0,1833.0,1737.0,3622.0,3703.0,4183.0,2510.0,1431.0,1016.0,1111.0,57379.0,6077.0,1385.0,1205.0,1288.0,5110.0,17005.0,1007660.0,56369.0,59148.0,2624.0,10915.0,94946.0,1403048148,36.995634,-86.4235786
24025,2011,246489.0,167943.0,135991.0,4769.0,3504.0,3212.0,2806.0,2944.0,3412.0,3621.0,2087.0,2729.0,3009.0,6488.0,9133.0,13765.0,10764.0,7917.0,7309.0,6142.0,121980.0,7718.0,7531.0,2435.0,12652.0,15315.0,46757.0,3698185.0,120611.0,125878.0,5906.0,30588.0,200248.0,1132148068,39.5374292,-76.29978940000001
36079,2011,99933.0,69786.0,56838.0,5015.0,892.0,744.0,1260.0,1205.0,1547.0,1285.0,616.0,879.0,1249.0,2183.0,3119.0,3971.0,4401.0,3399.0,4288.0,4314.0,50801.0,3704.0,4152.0,1808.0,4062.0,6070.0,23305.0,1819050.0,50484.0,49449.0,1895.0,1656.0,89483.0,596542964,41.4279067,-73.74386080000001
26021,2011,156941.0,106509.0,80011.0,5842.0,5058.0,3900.0,4258.0,4244.0,3451.0,3838.0,2917.0,3171.0,2325.0,3483.0,5366.0,6801.0,3574.0,2060.0,1117.0,1113.0,65597.0,6181.0,3296.0,496.0,2094.0,4782.0,19988.0,1253225.0,76048.0,80893.0,2520.0,24036.0,122533.0,1470543783,41.791381799999996,-86.74254350000001
26159,2011,76131.0,51115.0,40258.0,1413.0,2636.0,2336.0,1379.0,2504.0,1401.0,1541.0,1523.0,1554.0,1764.0,2284.0,2494.0,3467.0,1773.0,569.0,670.0,116.0,32215.0,1719.0,999.0,635.0,901.0,2688.0,6991.0,749615.0,37589.0,38542.0,241.0,3244.0,67103.0,1574265761,42.282149700000005,-86.30607619999999
21037,2011,90940.0,60450.0,48901.0,1037.0,2818.0,2180.0,1626.0,1855.0,1588.0,1596.0,1774.0,766.0,1605.0,3472.0,5216.0,3302.0,2962.0,1954.0,1136.0,616.0,45829.0,3617.0,3379.0,1071.0,2715.0,4569.0,15665.0,935345.0,44777.0,46163.0,871.0,2534.0,85518.0,391968572,38.9469811,-84.3795832
42013,2011,127099.0,89065.0,66535.0,501.0,4146.0,2925.0,3906.0,3680.0,2711.0,2723.0,3259.0,3463.0,2845.0,5604.0,5379.0,4282.0,3021.0,1420.0,615.0,870.0,56760.0,4114.0,1355.0,1527.0,3364.0,3942.0,13255.0,1007460.0,61461.0,65638.0,893.0,2224.0,122334.0,1361819111,40.498653600000004,-78.3095974
36053,2011,73365.0,49296.0,38433.0,640.0,1541.0,1064.0,1802.0,1548.0,1408.0,1597.0,1172.0,1722.0,1481.0,2423.0,2954.0,3839.0,1791.0,1136.0,675.0,652.0,32115.0,2721.0,1662.0,650.0,1289.0,2573.0,10434.0,653970.0,36392.0,36973.0,453.0,869.0,69146.0,1696048608,42.9100255,-75.6635749
19061,2011,94648.0,63657.0,49179.0,1245.0,1890.0,2022.0,2217.0,1360.0,2139.0,2336.0,2101.0,2213.0,1614.0,3249.0,5054.0,6277.0,2483.0,814.0,1049.0,828.0,50044.0,4407.0,3436.0,1483.0,1656.0,3866.0,14606.0,820570.0,46850.0,47798.0,1224.0,1197.0,89431.0,1575487988,42.4634808,-90.8787708
37057,2011,162697.0,112554.0,88798.0,5574.0,5051.0,3976.0,3771.0,5153.0,3387.0,6124.0,4966.0,2285.0,3480.0,7425.0,5226.0,7788.0,2519.0,791.0,2364.0,921.0,73196.0,3766.0,3934.0,1589.0,2012.0,6953.0,17650.0,1699395.0,80389.0,82308.0,2005.0,16259.0,141182.0,1432727271,35.7951312,-80.207107
