geo_id,year,population,not_us_citizen,employment,emp_hospitality,emp_finance,emp_information,emp_public_adm,emp_science_admin,commute_time,immigration,male,female,asian,black,white,income_less_25k,income_25k_50k,income_50k_100k,income_100k_plus,age_65plus,age_25_64,bachelors,centroid_lat,centroid_lon,density,population_norm,commute_norm,density_norm
26055,2011,88349.0,0.015291627522665791,0.8536510784033922,0.11694328358208955,0.0805731343283582,0.02199402985074627,0.027582089552238807,0.09709850746268657,853610.0,0.12707557527532853,0.49759476621127574,0.5024052337887243,0.006395092191196278,0.02236584454832539,0.9474131003180568,0.25794185454654334,0.2711159016737028,0.279858678403545,0.19108356537620888,0.15072043826189319,0.5552298271627296,0.3133689403514494,44.7186875,-85.5538484,7.346346136565847e-05,0.9973728050650442,0.9964202404641048,0.997460535357527
37035,2011,154181.0,0.05093364292617119,0.8267654284949768,0.07796984185362266,0.04207429201912468,0.013240161824200073,0.026980507539536593,0.06796616403089371,1395380.0,0.08763077162555698,0.48907452928700684,0.5109254707129932,0.030542025281973785,0.08710541506411296,0.8285910715328089,0.26153818865514916,0.2971726560005676,0.2977225158749867,0.14356663946929654,0.1464836782742361,0.5332563675161012,0.2279184606777105,35.6618826,-81.2149057,0.000148315017368357,0.9908602661126774,0.9927583577486447,0.9948214854801208
40131,2011,87706.0,0.012382277153216428,0.8803222346270878,0.05381210523698215,0.04742129606604665,0.016088924255234494,0.050902670711692445,0.07783359029193813,957410.0,,0.4932273732697877,0.5067726267302123,0.012769935922285819,0.0130435774063348,0.7582263471142225,0.18913594985823012,0.2564393374123265,0.3482465303686017,0.20617818236084168,0.13893006179736847,0.5208423597017308,0.27044066460891836,36.3777941,-95.6013835,5.0121043239484465e-05,0.9974364148983529,0.9957186449053533,0.9982835216651466
41071,2011,100000.0,0.05227,0.8978856695379797,0.10088522588522589,0.05012646084074655,0.007980115122972265,0.05821559392987964,0.0940825047967905,1007520.0,,0.50615,0.49385,0.00881,0.0119,0.85524,0.21727155884693067,0.26121549666442256,0.3493481853234592,0.1721647591651876,0.13709,0.5108,0.19843382928739234,45.2478274,-123.3163993,5.393251101840526e-05,0.9962202107137558,0.995379945931856,0.998149140309409
36091,2011,220882.0,0.021699368893798497,0.9112227942134759,0.0859040484852819,0.08507271898381143,0.022258176974854518,0.0781807292458143,0.10207474814291716,2645670.0,0.11256236361496183,0.4926159668963519,0.5073840331036481,0.018829058049094086,0.016660479350965676,0.9413578290671037,0.14574975063726034,0.21689016956666296,0.3577967416602017,0.279563338135875,0.1389837107595911,0.5558080785215636,0.4212661279812329,43.10613529999999,-73.8553872,0.0001052882386130017,0.9842617599050304,0.9843075108204048,0.9963384855434917
19169,2011,89663.0,0.0665938012335077,1.263244505786177,0.08360297516493675,0.05851577929991175,0.026978190528217844,0.04078245156952557,0.06528133798377947,765505.0,0.12365189654595542,0.5083479250080858,0.49165207499191416,0.06611422771934912,0.030670399161303995,0.8898876905747075,0.2902224521469219,0.2466517215611887,0.29622923492556186,0.16689659136632753,0.10052083914212105,0.420195621382287,0.5008228049686804,42.0375379,-93.4660934,6.046539505753003e-05,0.9972428154523421,0.9970157518003648,0.9979188096690956
55105,2011,160092.0,0.03318716737875722,0.8768272620446533,0.07327990565279155,0.056527915516363346,0.014071671714599695,0.027701090889597685,0.0802219303653274,1686445.0,0.06909152237463459,0.4942408115333683,0.5057591884666317,0.011549608974839467,0.044630587412237965,0.9062788896384579,0.24997249076475675,0.27487227855065627,0.32904189263538475,0.14611333804920223,0.13707743047747545,0.5315693476251155,0.19135135135135134,42.6698802,-89.0752844,8.607161753637282e-05,0.9902755107088094,0.9907910175626333,0.9970160081523017
55087,2011,177913.0,0.0296942887815955,0.9674208888386758,0.08141966854582709,0.06955016933677315,0.020447813485364844,0.030586786423331316,0.0812498009363952,1735990.0,0.07331111273487603,0.5009021263201677,0.49909787367983227,0.030638570537285078,0.010190373946816702,0.9218382018177423,0.19841304379360866,0.23720208306134585,0.3853663489853054,0.17901852415974004,0.12218893504128422,0.5472506224952646,0.27416985918675474,44.418225799999995,-88.46498829999999,0.00010773984235224165,0.9885125389523668,0.9904561374859634,0.9962520490698497
17113,2011,170556.0,0.045791411618471355,1.0343558136496966,0.08876004592422503,0.2226980482204363,0.011446613088404133,0.02200918484500574,0.08293915040183697,1443525.0,0.10211308895611998,0.48536551044818127,0.5146344895518188,0.04035624662867328,0.07632097375642018,0.8490876896737728,0.23160974067046172,0.21627134724857686,0.2920303605313093,0.2600885515496521,0.10290461783812942,0.49372053753605855,0.45020010212927664,40.4945594,-88.84453909999999,5.565357596750547e-05,0.9892403422861948,0.9924329404251757,0.9980884605255076
25003,2011,130458.0,0.020198071409955696,0.8904982279370844,0.09433434750431707,0.0425129512375627,0.02346846476441082,0.03461886358029767,0.07825014390263958,1224485.0,0.07660703061521716,0.48000122644835885,0.5199987735516411,0.01539959220592068,0.030814515016327093,0.9303147373100922,0.28069889552779287,0.27448850262538477,0.2761361578852073,0.16867644396161507,0.1912339603550568,0.5234021677474743,0.3137430069418002,42.371493,-73.2179276,5.434389998616263e-05,0.993207102933175,0.9939134557545486,0.9981346359214858
